登録番号,資料名,材質＊,材質＊,材質＊,材質＊,材質＊,材質＊,材質＊,点数＊,状態＊,備考＊,収蔵場所,旧蔵者,受入年月,受入方法,収蔵場所,所蔵者,調査年月,調査者,撮影備考
ODK00079,長持ヵ,木,金属,,,,,,1点,,中に物あり。傘・毬・漆塗酒器等。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00080,箪笥,木,金属,,,,,,1点,破損（一部）,各抽斗に物あり。抽斗1：鋸・鼻緒・金槌等草履づくり道具類ヵ、抽斗2：糸・ハーモニカ・鉛筆等、抽斗3鼻緒・鼻緒の芯、抽斗4：鼻緒・草履作りの道具類ヵ、抽斗5：鼻緒・草履の底・眼鏡・古文書等、抽斗6：鼻緒・草履の底型・金槌・金具・草履作りの道具類ヵ、抽斗7：古文書・糸玉・鼻緒・草履作りの道具類ヵ。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00081,靴（冬用）,合成繊維,金属,,,,,,1対(2点),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00082,まんさく,木,,,,,,,1対(2点),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00083,まんさく,木,,,,,,,1対(2点),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00084,鼻緒,植物繊維,,,,,,,1揃(複数),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00085,鼻緒,植物繊維,,,,,,,1揃(複数),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00086,鼻緒,植物繊維,,,,,,,1揃(複数),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00087,鼻緒,植物繊維,,,,,,,1揃(複数),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00088,鼻緒,植物繊維,,,,,,,1揃(複数),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00089,鼻緒,植物繊維,藁,,,,,,1揃(複数),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00090,草履（底）,植物繊維,藁,紙,,,,,1揃(20点),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00091,草履（底）,植物繊維,藁,紙,,,,,1揃(20点),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00092,草履（底）,植物繊維,藁,紙,,,,,1揃(20点),,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00093,木箱,木,金属,,,,,,1点,,中に物あり。下駄、鼻緒等。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00094,蓋,木,金属,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
